,Country Name,Depression Rate,GBL Consumption,Dairy Consumption,Fruits Consumption,Meat Consumption,Vegetables Consumption,Confections Consumption,Caffeine Consumption,Alcohol Consumption,total,GBL_percentage,Dairy_percentage,Fruits_percentage,Meat_percentage,Vegetables_percentage,Confections_percentage,Caffeine_percentage,Alcohol_percentage,average,Country Code,average_GDP_capita
20,Dominican Republic,0.028491344037772672,0.0003098332374705654,8.235461267556934e-05,0.0003746578753399727,7.797502048710021e-05,6.511478917654382e-05,0.0005291663479032168,2.0310591499553217e-06,4.739138016562417e-05,15390.4975,0.2081479172456901,0.05532634666293276,0.2516975166007467,0.052384109090690543,0.043744524827738676,0.35549728005868564,0.0013644783087746189,0.031837827204741105,10339433.0,DOM,7105.141059761289
21,Ecuador,0.02772158603909326,0.00046847254783265624,0.00011722128435346922,0.00010903061711145912,7.639676777933316e-05,6.227046457311786e-05,0.000616879797710079,-2.6283484433316002e-06,3.623147766941409e-05,24276.3125,0.3157089858684263,0.07899675867164752,0.07347697472587733,0.05148465196268997,0.041964775333980395,0.41572232191359376,-0.001771273952747148,0.024416805476531907,16360083.5,ECU,6193.794444576565
22,Estonia,0.04810874216564453,0.0005994536326890141,0.0003961524006835481,7.790047207686078e-05,9.915780089627343e-05,0.00018145109959366354,7.505995486332647e-05,4.3700264823604835e-06,0.00013585082325598893,2064.9825,0.38196449606715793,0.25242344668780486,0.049637224528537166,0.06318213350476336,0.11561841323110486,0.0478272818292649,0.002784527229649646,0.08656247692171726,1315781.5,EST,19196.26172423895
23,Finland,0.051404908745402045,0.0006659509236001998,0.0005497945732336396,5.955918004279876e-05,0.0001422603141735355,0.00018683445920082245,0.00016430359050261203,1.1939177636735483e-05,0.00010107288548961564,10323.3525,0.3539063497056794,0.29217737164356244,0.03165153955558526,0.07560140952273013,0.0992894507864572,0.08731586952978694,0.006344838074646777,0.05371317118155172,5486140.0,FIN,45791.48635894037
24,France,0.04435047196680795,0.000699920527327383,0.00035499124856329823,0.0001684788833481876,0.000130395472343278,0.00018088651936318189,0.0007497211978666582,5.655870379490738e-06,0.00010462797242166077,159514.76249999998,0.29228172533560964,0.1482417653977324,0.0703555572168438,0.05445220156347599,0.07553689584059659,0.31307812341193186,0.002361850364789905,0.043691880869019886,66612205.5,FRA,38874.7458130722
25,Gabon,0.029513357123203892,0.00034133829408280325,1.3284107071421179e-05,0.00019420099385363343,0.00011405101754995014,0.00034513375324606645,0.00017712142761894907,0.0,8.096979548294814e-05,2501.87,0.2695983404413499,0.01049215187040094,0.1533852678196709,0.09008061969646705,0.2725960981186073,0.13989535827201255,0.0,0.06395216378149145,1976045.5,GAB,7815.748130306612
26,Germany,0.04410682083810771,0.0006889971776955359,0.0003680264903632407,7.988103277352604e-05,0.00011991331697902831,0.00019527593673656583,0.0004530608644762904,7.052724612783904e-06,0.00013951333001878673,168074.2975,0.3358142847510638,0.17937454119063032,0.03893367455544475,0.058445239076486404,0.09517665840608378,0.2208199323278445,0.0034374678852963822,0.0679982018071502,81918695.5,DEU,43926.7648974251
27,Greece,0.04542773018225488,0.000589423546130596,0.0002481734668709465,0.0003880774432564503,0.0001331113492741851,0.0002586720462559083,0.00013094040955466925,4.786797208561865e-06,6.955886958142072e-05,19705.66,0.32337155923729527,0.1361537751082684,0.2129083725183526,0.07302800312194567,0.14191354159160363,0.07183697475750624,0.0026261490353532944,0.03816162462967493,10810986.5,GRC,19243.857939681053
28,Grenada,0.029322349482458217,0.00020698941851895659,2.7295307936565704e-05,0.0001842433285718185,0.00011272962177801636,0.0002320101174608085,0.00012510349470925948,0.0,3.639374391542094e-05,101.64,0.22382920110192836,0.0295159386068477,0.19923258559622195,0.121900826446281,0.25088547815820544,0.13528138528138528,0.0,0.03935458480913026,109909.0,GRD,9311.984424898414
29,Hungary,0.03478959068562279,0.0011151702867495338,0.00020958251767899382,0.00012037194728207291,0.00010185827373349036,0.00015664633376225802,0.00016033202510665778,2.5437858681756746e-07,9.9970784619304e-05,19303.7725,0.5677517179608287,0.10670194129152735,0.06128335795503185,0.051857739206157764,0.07975125069465049,0.0816276973840217,0.0001295083642329498,0.050896787143549276,9827871.25,HUN,13667.566110943575
30,Iceland,0.034741175496395015,0.0003216059354993119,0.0004390294979955723,7.404415724286483e-05,0.0004241683120923832,0.00010171722611141028,0.00016288966672650034,8.975049362771496e-06,0.00010022138455094836,545.73,0.196983856485808,0.2689058692027193,0.04535209719091859,0.25980338262510766,0.06230187088853462,0.0997700328001026,0.005497223901929526,0.0613856669048797,334260.0,ISL,59896.02675863383
31,Ireland,0.04386970344871322,0.0008471960774573231,0.0011764879967784247,7.03398402529909e-05,9.707532123269645e-05,0.00020155984276852538,0.000169708208569517,4.227789046009971e-06,0.0001606031363853038,12901.2975,0.31064704925996783,0.43139071864670975,0.025791979450128948,0.035595256988686604,0.07390729498331466,0.06222804334215221,0.0015502316724344974,0.05888942565660547,4730605.0,IRL,62626.95871186252
32,Israel,0.038019268507994364,0.000572085151129372,0.0001845807574043497,0.0001142516194015082,0.00014537839202956126,0.00017134789145505403,9.359328432053074e-05,4.312496492404394e-06,2.2921214233601436e-05,11074.6025,0.4372165953586144,0.1410660111728615,0.08731690369925241,0.11110556789735791,0.13095278137522318,0.07152875238637232,0.0032958293536946358,0.017517558756623544,8463775.0,ISR,37829.7927665878
33,Italy,0.03947974450920482,0.0005025013419821466,0.00023917941430724076,0.0002377001239336289,0.00011576003452622524,0.00015546970973920568,0.00013603599602180497,5.550429340543601e-06,7.261296647294679e-05,88871.4625,0.34304881614837834,0.16328357373436947,0.16227368824947605,0.07902733681242163,0.10613643271595762,0.09286937862646291,0.0037891803569677952,0.04957159335596621,60670982.25,ITA,32273.769038761922
34,Japan,0.03544360114508911,0.00033475383934934185,6.105502628911997e-05,3.2503123767038925e-05,0.0001245847606890511,0.00012856423867558148,9.263006564371647e-05,4.413640065956429e-06,4.604117265414558e-05,104757.9975,0.4059857100647614,0.0740468526042606,0.03941942475561353,0.1510950035103525,0.15592126987727117,0.11234070697084488,0.005352813278050681,0.05583821893884522,127049327.0,JPN,37445.5528173473
35,Kazakhstan,0.033632890866924524,0.0005333348654899949,0.0003136298269692272,6.277691148973431e-05,9.331824687351591e-05,0.0004959319400915801,7.23026992854895e-05,2.1935124618820603e-06,4.0700269937889065e-05,28515.815000000002,0.33040437385359667,0.19429569170651442,0.03889069977484424,0.05781125315899263,0.30723302139532044,0.04479198648188733,0.0013588950552526728,0.02521407857359153,17665730.5,KAZ,10070.11393752165
36,Kuwait,0.03885481667782747,0.00034241757749570677,3.751728015034712e-05,8.764757386753479e-05,0.00010578392903867084,0.00018900214717250342,6.532060929092597e-05,3.732422382024242e-06,2.5740844013960287e-07,3230.9700000000003,0.41171846225746445,0.045110291955666564,0.10538630813656578,0.12719322680185824,0.22725373494647116,0.07854065497358377,0.00448781635236477,0.0003095045760251565,3884876.5,KWT,32836.08742066703
